
Summary,EXAMPLE
Emissions

Cost,32242.6

TID Demand

,EXAMPLE
Fuel,2019,2020,2021,2022
DEMPWRCOA,WND,WN,0,0,0,0
DEMPWRGAS,COA,SD,0,0,0,0
DEMPWRGAS,COA,SN,0,0,0,0
DEMPWRGAS,COA,WD,0,0,0,0
DEMPWRGAS,COA,WN,0,0,0,0
DEMPWRGAS,ELC001,SD,0,0,0,0
DEMPWRGAS,ELC001,SN,0,0,0,0
DEMPWRGAS,ELC001,WD,0,0,0,0
DEMPWRGAS,ELC001,WN,0,0,0,0
DEMPWRGAS,ELC002,SD,0,0,0,0
DEMPWRGAS,ELC002,SN,0,0,0,0
DEMPWRGAS,ELC002,WD,0,0,0,0
DEMPWRGAS,ELC002,WN,0,0,0,0
DEMPWRGAS,GAS,SD,0,0,0,0
DEMPWRGAS,GAS,SN,0,0,0,0
DEMPWRGAS,GAS,WD,6.91658,6.91658,6.91658,6.91658
DEMPWRGAS,GAS,WN,64.1676,64.1676,64.1676,64.1676
DEMPWRGAS,HYD,SD,0,0,0,0
DEMPWRGAS,HYD,SN,0,0,0,0
DEMPWRGAS,HYD,WD,0,0,0,0
DEMPWRGAS,HYD,WN,0,0,0,0
DEMPWRGAS,SOL,SD,0,0,0,0
DEMPWRGAS,SOL,SN,0,0,0,0
DEMPWRGAS,SOL,WD,0,0,0,0
DEMPWRGAS,SOL,WN,0,0,0,0
DEMPWRGAS,WAT,SD,0,0,0,0
DEMPWRGAS,WAT,SN,0,0,0,0
DEMPWRGAS,WAT,WD,0,0,0,0
DEMPWRGAS,WAT,WN,0,0,0,0
DEMPWRGAS,WND,SD,0,0,0,0
DEMPWRGAS,WND,SN,0,0,0,0
DEMPWRGAS,WND,WD,0,0,0,0
DEMPWRGAS,WND,WN,0,0,0,0
MINHYD,COA,SD,0,0,0,0
MINHYD,COA,SN,0,0,0,0
MINHYD,COA,WD,0,0,0,0
MINHYD,COA,WN,0,0,0,0
MINHYD,ELC001,SD,0,0,0,0
MINHYD,ELC001,SN,0,0,0,0
MINHYD,ELC001,WD,0,0,0,0
MINHYD,ELC001,WN,0,0,0,0
MINHYD,ELC002,SD,0,0,0,0
MINHYD,ELC002,SN,0,0,0,0
MINHYD,ELC002,WD,0,0,0,0
MINHYD,ELC002,WN,0,0,0,0
MINHYD,GAS,SD,0,0,0,0
MINHYD,GAS,SN,0,0,0,0
MINHYD,GAS,WD,0,0,0,0
MINHYD,GAS,WN,0,0,0,0
MINHYD,HYD,SD,28806.5,28806.5,28806.5,28806.5
MINHYD,HYD,SN,14400,14400,14400,14400
MINHYD,HYD,WD,17849.2,17849.2,17849.2,17849.2
MINHYD,HYD,WN,17849.2,17849.2,17849.2,17849.2
MINHYD,SOL,SD,0,0,0,0
MINHYD,SOL,SN,0,0,0,0
MINHYD,SOL,WD,0,0,0,0
MINHYD,SOL,WN,0,0,0,0
MINHYD,WAT,SD,0,0,0,0
MINHYD,WAT,SN,0,0,0,0
MINHYD,WAT,WD,0,0,0,0
MINHYD,WAT,WN,0,0,0,0
MINHYD,WND,SD,0,0,0,0
MINHYD,WND,SN,0,0,0,0
MINHYD,WND,WD,0,0,0,0
MINHYD,WND,WN,0,0,0,0
MINSOL,COA,SD,0,0,0,0
MINSOL,COA,SN,0,0,0,0
MINSOL,COA,WD,0,0,0,0
MINSOL,COA,WN,0,0,0,0
MINSOL,ELC001,SD,0,0,0,0
MINSOL,ELC001,SN,0,0,0,0
MINSOL,ELC001,WD,0,0,0,0
MINSOL,ELC001,WN,0,0,0,0
MINSOL,ELC002,SD,0,0,0,0
MINSOL,ELC002,SN,0,0,0,0
MINSOL,ELC002,WD,0,0,0,0
MINSOL,ELC002,WN,0,0,0,0
MINSOL,GAS,SD,0,0,0,0
MINSOL,GAS,SN,0,0,0,0
MINSOL,GAS,WD,0,0,0,0
MINSOL,GAS,WN,0,0,0,0
MINSOL,HYD,SD,0,0,0,0
MINSOL,HYD,SN,0,0,0,0
MINSOL,HYD,WD,0,0,0,0
MINSOL,HYD,WN,0,0,0,0
MINSOL,SOL,SD,15.9964,15.9964,15.9964,15.9964
MINSOL,SOL,SN,0,0,0,0
